#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
NZ|ABAZ|-36.600224|174.832333|74.000000|Army Bay|2008-10-13T00:00:00|
NZ|AHAM|-77.828879|166.670950|132.030800|Arrival Heights Geomagnetic Observatory|2022-03-19T00:00:00|
NZ|AKCZ|-43.872100|172.909830|374.200000|Akaroa Harbour|2012-03-01T00:00:00|
NZ|AKFZ|-36.605669|174.522439|94.000000|Atkinson Farm|2023-03-21T02:06:00|
NZ|AKLS|-36.853650|174.769830|70.000000|Auckland University|2023-06-23T01:07:00|
NZ|AKSS|-43.810910|172.963490|13.000000|Akaroa School|2011-08-25T00:00:00|
NZ|ALRZ|-38.562043|176.343014|405.000000|Allen Road|2007-11-07T00:00:00|
NZ|AMBC|-43.154678|172.730880|41.000000|Amberley HDC|2004-11-27T00:00:00|
NZ|AMCZ|-43.176540|172.651460|179.000000|Amberley|2012-06-26T00:00:00|
NZ|ANWZ|-40.459743|176.475059|132.000000|Angora Road|2008-08-07T00:00:00|
NZ|APIM|-13.807200|-171.775000|2.000000|Apia Geomagnetic Observatory|2011-07-25T00:00:00|
NZ|APPS|-42.948949|171.567735|743.000000|Arthurs Pass Police Station|2001-11-12T00:00:00|
NZ|APZ|-46.831806|167.988825|601.000000|The Paps|2006-05-07T00:00:00|
NZ|ARAZ|-38.627690|176.120060|420.000000|Aratiatia Landcorp Farm|2007-05-20T23:00:00|
NZ|ARCZ|-43.947050|171.176740|462.000000|Arundel|2014-05-13T00:00:00|
NZ|ARHZ|-39.263100|176.995900|270.000000|Aropaoanui|2010-03-11T00:00:00|
NZ|ARPS|-42.523958|171.407866|85.000000|Arnold River Power Station|1999-09-23T00:00:00|
NZ|ASBS|-43.891867|171.749800|120.000000|Ashburton College|2025-05-19T05:36:00|
NZ|ASHS|-43.274410|172.595947|47.000000|Ashley School|2002-02-24T00:00:00|
NZ|AUCT|-36.831437|174.786537|0.000000|Auckland|2009-03-26T00:00:00|
NZ|AVAB|-41.196446|174.932866|10.000000|GNS Avalon|2007-11-05T00:00:00|
NZ|AWAZ|-37.063780|174.642920|103.000000|Awhitu Peninsula|2010-12-14T00:00:00|
NZ|AWKZ|-35.907775|173.906494|68.000000|Awakino Point|2022-12-21T02:40:00|
NZ|BCKZ|-29.280300|-177.893800|141.000000|Boat Cove|2009-05-18T00:00:00|
NZ|BDCS|-46.249064|169.719373|55.000000|Balclutha District Council|2002-06-10T00:00:00|
NZ|BFZ|-40.679647|176.246245|283.000000|Birch Farm|1996-04-03T00:00:00|
NZ|BHHZ|-39.489284|176.062929|831.000000|Black Hill Station|2008-06-12T00:00:00|
NZ|BHW|-41.408231|174.871115|101.000000|Baring Head|1975-11-27T00:00:00|
NZ|BKZ|-39.165666|176.492544|706.000000|Black Stump Farm|2004-02-11T00:00:00|
NZ|BMTS|-41.191372|174.926030|84.000000|Belmont|2011-01-18T00:00:00|
NZ|BOWS|-41.279193|174.776323|13.000000|Bowen St Turnbull House Wellington|2014-03-17T00:00:00|
NZ|BSWZ|-41.714915|173.875741|277.000000|Black Birch Station|2003-12-09T00:00:00|
NZ|BWHS|-43.480415|172.682184|10.000000|Burwood Hospital|2012-12-18T00:00:00|
NZ|BWRS|-41.439544|173.905118|75.000000|Waikakaho Road|2011-08-22T00:00:00|
NZ|CAW|-41.107194|175.066439|283.000000|Cannon Point|1976-05-11T00:00:00|
NZ|CBGS|-43.529347|172.619876|16.000000|Christchurch Botanic Gardens|1999-09-27T00:00:00|
NZ|CBLB|-43.524868|172.584183|12.000000|Canterbury University Business & Law Building CBLB|2016-08-27T00:00:00|
NZ|CCCC|-43.538085|172.647427|4.000000|Christchurch Cathedral College|2006-08-16T00:00:00|
NZ|CCMB|-43.521005|172.583683|12.000000|Christchurch Civil Mechanical Building Array|2019-07-25T00:00:00|
NZ|CECS|-42.813491|173.274868|69.000000|Cheviot Emergency Centre|2002-02-23T00:00:00|
NZ|CHIT|-44.024042|-176.367476|2.000000|Chatham Island|2007-12-15T12:00:00|
NZ|CHST|-41.903007|171.434114|4.000000|Charleston|2015-06-24T00:00:00|
NZ|CJHB|-43.523624|172.582626|12.000000|Canterbury James Hight Building Array|2019-07-19T00:00:00|
NZ|CKHZ|-39.658187|177.077689|209.000000|Cape Kidnappers|2007-08-29T00:00:00|
NZ|CMWZ|-41.749017|174.213825|281.000000|Cape Campbell|2003-12-10T00:00:00|
NZ|CNGZ|-38.483716|178.207467|179.000000|Carnagh Station|2006-07-21T00:00:00|
NZ|COVZ|-39.199914|175.542402|1133.000000|Chateau Observatory|1998-03-25T00:00:00|
NZ|CPFS|-40.898762|176.220964|9.000000|Castlepoint Fire Station|2002-01-16T00:00:00|
NZ|CPIB|-43.537115|172.643386|5.000000|Christchurch Polytechnic Institute of Technology|2012-05-15T00:00:00|
NZ|CPIT|-40.899290|176.231676|0.000000|Castlepoint|2009-09-16T00:00:00|
NZ|CPWZ|-40.909800|176.201600|181.000000|Castlepoint|2009-07-07T00:00:00|
NZ|CPXB|-43.521990|172.582320|12.000000|Canterbury University Physics Department|2007-05-16T00:00:00|
NZ|CRSZ|-42.144570|173.815400|930.300000|Clarence River Middle Hill|2015-11-15T05:25:00|
NZ|CSHS|-43.226527|171.723556|731.000000|Castle Hill Station|2001-11-10T00:00:00|
NZ|CSTC|-43.312291|172.381334|132.000000|Cust School|2004-11-25T00:00:00|
NZ|CTPS|-41.278513|174.785939|5.000000|Centreport|2024-09-23T00:00:00|
NZ|CTZ|-43.735490|-176.617190|99.000000|Chatham Island|2007-12-15T00:00:00|
NZ|CULC|-42.759438|172.802602|206.000000|Culverden Airlie Farm|2005-11-15T00:00:00|
NZ|CVZ|-44.383180|171.006160|454.000000|Cave|2014-05-16T00:00:00|
NZ|CWHB|-43.533574|172.624314|5.000000|Christchurch Womens Hospital Building Array|2013-01-01T00:00:00|
NZ|DALS|-43.511980|172.673230|12.000000|Dallington|2012-01-09T00:00:00|
NZ|DAVS|-41.205787|174.954360|15.000000|Collett Street|2011-06-01T00:00:00|
NZ|DBHZ|-43.288310|171.315391|708.000000|Double Hill|2024-11-07T01:13:00|
NZ|DCDS|-45.874335|170.502156|36.000000|Dunedin Civil Defence|2002-06-09T00:00:00|
NZ|DCZ|-45.464713|167.153533|71.000000|Deep Cove|1991-05-28T00:00:00|
NZ|DFHS|-43.489675|172.102160|210.000000|Darfield High School|2001-11-09T00:00:00|
NZ|DGNS|-45.862565|170.513906|25.000000|Dunedin GNS|2002-06-09T00:00:00|
NZ|DHSS|-43.630260|172.727250|97.000000|Diamond Harbour School|2012-06-27T00:00:00|
NZ|DKHS|-45.902226|170.492935|13.000000|Dunedin Kings High School|2002-06-06T00:00:00|
